Epoch,Training_Loss,Testing_Loss
1,0.40053480999102087,0.13668471364609042
2,0.25200717124666977,0.15628289705508536
3,0.24122368728740373,0.11986066748628567
4,0.23036753011159886,0.12450410095487377
5,0.22776557840338116,0.11357590110384101
6,0.22310831242765586,0.11046985620724172
7,0.21648270286168617,0.10370023651590629
8,0.21080437535134988,0.1062625939314804
9,0.20786713762946385,0.09194801993267714
10,0.1997030065348331,0.08343511530858888
11,0.1943840738137949,0.08951359644811664
12,0.198209238899726,0.09141599286549258
13,0.1888774738458535,0.08702837989080313
14,0.19227001136424948,0.06881273846185343
15,0.1896892848839369,0.06366055395434983
16,0.18908936540270302,0.06965294540016763
17,0.1869925001442299,0.0665625139724124
18,0.1840503078593699,0.06361931432847605
19,0.1855295090555577,0.06050090502685847
20,0.1789878778266045,0.04473408181993152
21,0.18762395534197057,0.058610942393190923
22,0.1781996904966748,0.07372795190029016
23,0.17670279102148903,0.040813193782025914
24,0.17810476566615552,0.04613398484771302
25,0.17443851890432835,0.06431812448940209
26,0.17645585752271398,0.04216289130431282
27,0.172366499531583,0.045389476940021344
28,0.169806735105932,0.03126713207360607
29,0.17181471348555996,0.05725788089231608
30,0.17154386923978285,0.05173033855282789
