Epoch,Training_Loss,Testing_Loss
1,8.892902183532716,14.32904510498047
2,8.739010620117188,14.220104217529297
3,8.671732330322266,13.963906860351562
4,8.604230880737305,13.761921691894532
5,8.541071701049805,13.554388427734375
6,8.47348861694336,13.393197631835937
7,8.409373092651368,13.299652862548829
8,8.343647766113282,13.197360229492187
9,8.278518867492675,13.085327911376954
10,8.206513595581054,13.024238586425781
11,8.129216384887695,12.867308044433594
12,8.060737609863281,12.776001739501954
13,7.983534908294677,12.65083999633789
14,7.910283184051513,12.539077758789062
15,7.830259132385254,12.412851715087891
16,7.769143199920654,12.26261863708496
17,7.680251693725586,12.11320686340332
18,7.607180976867676,11.987134552001953
19,7.523704242706299,11.85124626159668
20,7.444597911834717,11.714751434326171
21,7.364789772033691,11.584915161132812
22,7.2766523361206055,11.427997970581055
23,7.202523422241211,11.286688995361327
24,7.126314544677735,11.233868026733399
25,7.037408542633057,11.020659255981446
26,6.9520772933959964,10.907718276977539
27,6.8774927139282225,10.759461212158204
28,6.784859752655029,10.630377960205077
29,6.693461799621582,10.505555343627929
30,6.61517219543457,10.344560241699218
31,6.540484809875489,10.172713088989259
32,6.455929851531982,10.107775497436524
33,6.353348255157471,9.892424774169921
34,6.272640132904053,9.839810180664063
35,6.191616153717041,9.419893264770508
36,6.117750549316407,9.448277282714844
37,6.035288619995117,9.366187286376952
38,5.942943477630616,9.254417037963867
39,5.870531749725342,9.000715637207032
40,5.752454662322998,8.872906494140626
41,5.680567741394043,8.83505630493164
42,5.575301933288574,8.656913375854492
43,5.507738780975342,8.545645904541015
44,5.404829120635986,8.445276260375977
45,5.3319252014160154,8.313085556030273
46,5.2489217758178714,8.164581298828125
47,5.166929054260254,8.03174934387207
48,5.08677110671997,7.886003875732422
49,5.007367897033691,7.812005615234375
50,4.931257057189941,7.625616073608398
51,4.816092777252197,7.508718109130859
52,4.722101020812988,7.385577774047851
53,4.672540664672852,7.237017440795898
54,4.5754852294921875,7.11104736328125
55,4.465399265289307,7.027852249145508
56,4.403445816040039,6.857981491088867
57,4.331689453125,7.031919479370117
58,4.271342658996582,6.737124824523926
59,4.207134056091308,7.303575897216797
60,4.097424030303955,7.062530136108398
61,4.0410871505737305,6.42453556060791
62,3.9502542495727537,6.048884582519531
63,3.8865207195281983,5.926542854309082
64,3.796745491027832,5.646709060668945
65,3.661481237411499,5.6970069885253904
66,3.628077507019043,5.5039876937866214
67,3.5570706367492675,5.3938438415527346
68,3.472728633880615,5.241289138793945
69,3.3936761379241944,5.271807479858398
70,3.3373844146728517,5.133650207519532
71,3.263781452178955,5.621828079223633
72,3.167511510848999,5.410396766662598
73,3.120512676239014,4.991479682922363
74,3.0467228412628176,4.8422698974609375
75,3.001142692565918,4.595308303833008
76,2.9476911544799806,4.493112945556641
77,2.8649457454681397,4.4199974060058596
78,2.8158409118652346,4.265495109558105
79,2.724975347518921,3.967931365966797
80,2.6682246685028077,3.9765453338623047
81,2.5882733821868897,3.863947868347168
82,2.493870210647583,3.7289810180664062
83,2.454199504852295,3.69093017578125
84,2.3990792274475097,3.6417959213256834
85,2.313041019439697,3.5510255813598635
86,2.247631645202637,3.4701164245605467
87,2.2643575191497805,3.3777233123779298
88,2.184604549407959,3.340902328491211
89,2.1457315921783446,3.284450721740723
90,2.045251417160034,3.251059913635254
91,1.9701253175735474,3.0291804313659667
92,1.9959219217300415,2.9985172271728517
93,1.8891806840896606,2.9353593826293944
94,1.8646976709365846,2.8349135398864744
95,1.778777265548706,2.6834186553955077
96,1.7485403299331665,2.6494635581970214
97,1.6935457944869996,2.578011226654053
98,1.6388883590698242,2.502613639831543
99,1.6366507768630982,2.4697197914123534
100,1.5529934167861938,2.387579917907715
101,1.5316412925720215,2.366557216644287
102,1.4885540723800659,2.2890844345092773
103,1.4652117490768433,2.22316837310791
104,1.4494824647903441,2.10811128616333
105,1.432718324661255,2.0166954040527343
106,1.3345422983169555,1.9226347923278808
107,1.3518043994903564,1.9264246940612793
108,1.2763222217559815,1.830770206451416
109,1.1923125505447387,1.8122445106506349
110,1.1583482265472411,1.773502254486084
111,1.2143434762954712,1.7004315376281738
112,1.1732572317123413,1.6017704963684083
113,1.1118353128433227,1.5727807521820067
114,1.0687094688415528,1.507477378845215
115,1.0088028073310853,1.4337852954864503
116,1.0159313797950744,1.3545170307159424
117,0.9844308018684387,1.3156265258789062
118,0.9554837465286254,1.302323865890503
119,0.8910210251808166,1.2933376789093018
120,0.8884287476539612,1.2568467617034913
121,0.9657244324684143,1.2552423000335693
122,0.8627956867218017,1.2163393020629882
123,0.7977956533432007,1.1670802116394043
124,0.7618213891983032,1.1515111923217773
125,0.7441727042198181,1.0986665725708007
126,0.7591015577316285,1.0809463500976562
127,0.6960683465003967,1.0364226341247558
128,0.6779083728790283,1.0211042881011962
129,0.6776534676551819,0.961110258102417
130,0.6977203369140625,0.9814517974853516
131,0.6596591472625732,0.9571773529052734
132,0.6632071495056152,0.9980549335479736
133,0.5669713973999023,1.0014237880706787
134,0.6127939224243164,0.8932573795318604
135,0.5969101905822753,0.792784857749939
